network_number,name,author,Primary_type, Specialized_aquatic_type,number_of_nodes,is_connected,year_published,decade_published,Ecopath
62,WEB221_,Thompson_and_Townsend_2004,Aquatic,Stream,52,TRUE,2004,,Not_Ecopath_model
63,WEB222_,Thompson_and_Townsend_2004,Aquatic,Stream,78,TRUE,2004,,Not_Ecopath_model
64,WEB223_,Thompson_and_Townsend_2004,Aquatic,Stream,85,TRUE,2004,,Not_Ecopath_model
65,WEB224_,Thompson_and_Townsend_2004,Aquatic,Stream,57,TRUE,2004,,Not_Ecopath_model
66,WEB225_,Thompson_and_Townsend_2004,Aquatic,Stream,73,TRUE,2004,,Not_Ecopath_model
67,WEB226_,Thompson_and_Townsend_2004,Aquatic,Stream,107,TRUE,2004,,Not_Ecopath_model
68,WEB227_,Thompson_and_Townsend_2004,Aquatic,Stream,84,TRUE,2004,,Not_Ecopath_model
69,WEB228_,Thompson_and_Townsend_2004,Aquatic,Stream,96,TRUE,2004,,Not_Ecopath_model
70,WEB229_,Thompson_and_Townsend_2004,Aquatic,Stream,98,TRUE,2004,,Not_Ecopath_model
71,WEB230_,Thompson_and_Townsend_2004,Aquatic,Stream,78,TRUE,2004,,Not_Ecopath_model
72,WEB231_,Thompson_and_Townsend_2004,Aquatic,Stream,112,TRUE,2004,,Not_Ecopath_model
73,WEB232_,Thompson_and_Townsend_2004,Aquatic,Stream,86,TRUE,2004,,Not_Ecopath_model
74,WEB233_,Thompson_and_Townsend_2004,Aquatic,Stream,86,TRUE,2004,,Not_Ecopath_model
75,WEB234_,Thompson_and_Townsend_2004,Aquatic,Stream,94,TRUE,2004,,Not_Ecopath_model
76,WEB235_,Thompson_and_Townsend_2004,Aquatic,Stream,108,TRUE,2004,,Not_Ecopath_model
77,WEB236_,Thompson_and_Townsend_2004,Aquatic,Stream,68,TRUE,2004,,Not_Ecopath_model
78,WEB237_,Thompson_and_Townsend_2004,Aquatic,Stream,57,TRUE,2004,,Not_Ecopath_model
79,WEB238_,Thompson_and_Townsend_2004,Aquatic,Stream,72,TRUE,2004,,Not_Ecopath_model
80,WEB239_,Thompson_and_Townsend_2004,Aquatic,Stream,69,TRUE,2004,,Not_Ecopath_model
81,WEB240_,Thompson_and_Townsend_2004,Aquatic,Stream,67,TRUE,2004,,Not_Ecopath_model
82,WEB241_,Thompson_and_Townsend_2004,Aquatic,Stream,69,TRUE,2004,,Not_Ecopath_model
83,WEB242_,Thompson_and_Townsend_2004,Aquatic,Stream,81,TRUE,2004,,Not_Ecopath_model
84,WEB243_,Thompson_and_Townsend_2004,Aquatic,Stream,39,TRUE,2004,,Not_Ecopath_model
85,WEB244_,Thompson_and_Townsend_2004,Aquatic,Stream,70,TRUE,2004,,Not_Ecopath_model
86,WEB245_,Thompson_and_Townsend_2004,Aquatic,Stream,55,TRUE,2004,,Not_Ecopath_model
87,WEB246_,Thompson_and_Townsend_2004,Aquatic,Stream,59,TRUE,2004,,Not_Ecopath_model
88,WEB247_,Thompson_and_Townsend_2004,Aquatic,Stream,49,TRUE,2004,,Not_Ecopath_model
89,WEB248_,One_network_per_publication,Aquatic and terrestrial,,78,TRUE,2005,2000,Not_Ecopath_model
90,WEB249_,One_network_per_publication,Aquatic,River,40,TRUE,2005,2000,Ecopath_model
91,WEB250_,Angelini_et_al_2006,Aquatic,River,32,TRUE,2006,,Ecopath_model
92,WEB251_,Angelini_et_al_2006,Aquatic,River,33,TRUE,2006,,Ecopath_model
93,WEB252_,One_network_per_publication,Aquatic,River,13,TRUE,2010,2010,Ecopath_model
94,WEB253_,One_network_per_publication,Aquatic,Marine,28,TRUE,2011,2010,Ecopath_model
95,WEB254_,Angelini_et_al_2013,Aquatic,Lake,39,TRUE,2013,,Ecopath_model
96,WEB255_,Angelini_et_al_2013,Aquatic,Lake,39,TRUE,2013,,Ecopath_model
97,WEB256_,Angelini_et_al_2013,Aquatic,Lake,40,TRUE,2013,,Ecopath_model
98,WEB257_,Baeta_et_al_2011,Aquatic,Marine,37,TRUE,2011,,Ecopath_model
99,WEB258_,Baeta_et_al_2011,Aquatic,Marine,32,TRUE,2011,,Ecopath_model
100,WEB259_,Baeta_et_al_2011,Aquatic,Marine,25,TRUE,2011,,Ecopath_model
101,WEB260_,Baeta_et_al_2011,Aquatic,Marine,26,TRUE,2011,,Ecopath_model
102,WEB261_,Baeta_et_al_2011,Aquatic,Marine,21,TRUE,2011,,Ecopath_model
103,WEB262_,Baeta_et_al_2011,Aquatic,Marine,21,TRUE,2011,,Ecopath_model
104,WEB263_,One_network_per_publication,Aquatic and terrestrial,,77,TRUE,1997,1990,Not_Ecopath_model
105,WEB264_,One_network_per_publication,Aquatic,Stream,12,TRUE,2002,2000,Not_Ecopath_model
106,WEB265_,One_network_per_publication,Aquatic,Marine,18,TRUE,2006,2000,Ecopath_model
107,WEB266_,One_network_per_publication,Aquatic,Marine,28,TRUE,2008,2000,Ecopath_model
108,WEB267_,One_network_per_publication,Aquatic,Marine,26,TRUE,2003,2000,Ecopath_model
109,WEB268_,One_network_per_publication,Aquatic,Marine,30,TRUE,2007,2000,Ecopath_model
110,WEB269_,One_network_per_publication,Aquatic,Lake,16,TRUE,2007,2000,Ecopath_model
111,WEB270_,One_network_per_publication,Aquatic,Marine,26,TRUE,2011,2010,Not_Ecopath_model
112,WEB271_,One_network_per_publication,Aquatic,Lake,50,TRUE,2013,2010,Not_Ecopath_model
113,WEB273_,Parker_and_Huryn_2006,Aquatic,Stream,45,TRUE,2006,,Not_Ecopath_model
114,WEB274_,Parker_and_Huryn_2006,Aquatic,Stream,38,TRUE,2006,,Not_Ecopath_model
115,WEB275_,Parker_and_Huryn_2006,Aquatic,Stream,42,TRUE,2006,,Not_Ecopath_model
116,WEB276_,Parker_and_Huryn_2006,Aquatic,Stream,37,TRUE,2006,,Not_Ecopath_model
117,WEB278_,Stewart_and_Sprules_2011,Aquatic,Lake,22,TRUE,2011,,Ecopath_model
118,WEB279_,Stewart_and_Sprules_2011,Aquatic,Lake,22,TRUE,2011,,Ecopath_model
119,WEB281_,Tavares-Cromar_and_Williams_1996,Aquatic,Stream,39,TRUE,1996,,Not_Ecopath_model
120,WEB285_,Tavares-Cromar_and_Williams_1996,Aquatic,Stream,37,TRUE,1996,,Not_Ecopath_model
121,WEB288_,One_network_per_publication,Aquatic,Marine,48,TRUE,1999,1990,Ecopath_model
122,WEB289_,One_network_per_publication,Aquatic,Lake,15,TRUE,2011,2010,Ecopath_model
123,WEB295_,One_network_per_publication,Aquatic and terrestrial,,113,TRUE,2012,2010,Not_Ecopath_model
124,WEB296_,One_network_per_publication,Aquatic and terrestrial,,10,TRUE,1996,1990,Not_Ecopath_model
125,WEB306_,Closs_and_Lake_1994,Aquatic,Stream,49,TRUE,1994,,Not_Ecopath_model
126,WEB307_,Closs_and_Lake_1994,Aquatic,Stream,52,TRUE,1994,,Not_Ecopath_model
127,WEB308_,Closs_and_Lake_1994,Aquatic,Stream,51,TRUE,1994,,Not_Ecopath_model
128,WEB309_,One_network_per_publication,Aquatic,Marine,16,TRUE,2011,2010,Not_Ecopath_model
129,WEB310_,One_network_per_publication,Aquatic,River,14,TRUE,2009,2000,Ecopath_model
130,WEB311_,One_network_per_publication,Terrestrial,,154,TRUE,2000,2000,Not_Ecopath_model
131,WEB334_,Alcorlo_et_al_2001,Aquatic,Lake,13,TRUE,2001,,Not_Ecopath_model
132,WEB335_,Alcorlo_et_al_2001,Aquatic,Lake,15,TRUE,2001,,Not_Ecopath_model
133,WEB338_,One_network_per_publication,Aquatic,Marine,42,TRUE,2013,2010,Ecopath_model
134,WEB340_,One_network_per_publication,Aquatic,Marine,24,TRUE,2007,2000,Not_Ecopath_model
135,WEB343_,One_network_per_publication,Aquatic and terrestrial,,12,TRUE,1987,1980,Not_Ecopath_model
136,WEB344_,One_network_per_publication,Terrestrial,,29,TRUE,2004,2000,Not_Ecopath_model
137,WEB345_,One_network_per_publication,Aquatic,Lake,23,TRUE,2012,2010,Not_Ecopath_model
138,WEB347_,One_network_per_publication,Aquatic,Stream,106,TRUE,2005,2000,Not_Ecopath_model
139,WEB350_,One_network_per_publication,Aquatic,Marine,24,TRUE,2011,2010,Not_Ecopath_model
140,WEB351_,One_network_per_publication,Aquatic and terrestrial,,35,TRUE,1989,1980,Not_Ecopath_model
141,WEB353_,One_network_per_publication,Aquatic,Stream,15,TRUE,2003,2000,Ecopath_model
142,WEB354_,One_network_per_publication,Terrestrial,,44,TRUE,1993,1990,Not_Ecopath_model
143,WEB355_,Cohen_et_al_2003,Aquatic,Lake,21,TRUE,2003,,Not_Ecopath_model
144,WEB356_,Cohen_et_al_2003,Aquatic,Lake,20,TRUE,2003,,Not_Ecopath_model
145,WEB357_,One_network_per_publication,Aquatic,Marine,29,TRUE,1998,1990,Not_Ecopath_model
146,WEB358_,One_network_per_publication,Terrestrial,,14,TRUE,2003,2000,Not_Ecopath_model
147,carpinteria_,One_network_per_publication,Aquatic and terrestrial,,127,TRUE,2006,2000,Not_Ecopath_model
148,FW_008_,One_network_per_publication,Aquatic,Marine,249,TRUE,2005,2000,Ecopath_model
149,mown_Clmown1_,Cattin_Blandenier_2004,Terrestrial,,163,TRUE,2004,,Not_Ecopath_model
150,mown_Clmown2_,Cattin_Blandenier_2004,Terrestrial,,136,TRUE,2004,,Not_Ecopath_model
151,mown_Scmown1_,Cattin_Blandenier_2004,Terrestrial,,131,TRUE,2004,,Not_Ecopath_model
152,mown_Scmown2_,Cattin_Blandenier_2004,Terrestrial,,128,TRUE,2004,,Not_Ecopath_model
153,not_mown_ClControl1_,Cattin_Blandenier_2004,Terrestrial,,139,TRUE,2004,,Not_Ecopath_model
154,not_mown_ClControl2_,Cattin_Blandenier_2004,Terrestrial,,97,TRUE,2004,,Not_Ecopath_model
155,not_mown_ScControl1_,Cattin_Blandenier_2004,Terrestrial,,132,TRUE,2004,,Not_Ecopath_model
156,not_mown_ScControl2_,Cattin_Blandenier_2004,Terrestrial,,126,TRUE,2004,,Not_Ecopath_model
157,AEW01_,Digel_et_al_2014,Terrestrial,,121,TRUE,2014,,Not_Ecopath_model
158,AEW02_,Digel_et_al_2014,Terrestrial,,153,TRUE,2014,,Not_Ecopath_model
159,AEW03_,Digel_et_al_2014,Terrestrial,,122,TRUE,2014,,Not_Ecopath_model
160,AEW04_,Digel_et_al_2014,Terrestrial,,125,TRUE,2014,,Not_Ecopath_model
161,AEW05_,Digel_et_al_2014,Terrestrial,,126,TRUE,2014,,Not_Ecopath_model
