"Ictalurus_nebulosus" "benthic_detritus"
"Bosmina_longirostris" "Perca_flavescens"
"Conochiloides_dossuarius" "Perca_flavescens"
"Keratella_crassa" "Perca_flavescens"
"Trichotria_tetractis" "Perca_flavescens"
"Ceriodaphnia_quadrangula" "Perca_flavescens"
"Daphnia_ambigua" "Perca_flavescens"
"Daphnia_parvula" "Perca_flavescens"
"Colletheca_mutabilis" "Perca_flavescens"
"Diaphanosoma_birgei" "Perca_flavescens"
"copepod_nauplii" "Perca_flavescens"
"Tropocyclops_prasinus" "Perca_flavescens"
"Eucyclops_agilis" "Perca_flavescens"
"Mesocyclops_edax" "Perca_flavescens"
"Epishura_lacustris" "Perca_flavescens"
"Asplanchna_sp." "Perca_flavescens"
"Leptodora_kindtii" "Perca_flavescens"
"fish_eggs" "Perca_flavescens"
"fish_fry" "Ambloplites_rupestris"
"Diaptomus_sicilis" "Ambloplites_rupestris"
"Diaptomus_minutus" "Ambloplites_rupestris"
"Keratella_cochlearis" "Ambloplites_rupestris"
"Keratella_serrulata" "Ambloplites_rupestris"
"Keratella_taurocephala" "Ambloplites_rupestris"
"Holopedium_gibberum" "Ambloplites_rupestris"
"Polyarthra_remata" "Ambloplites_rupestris"
"Conochiloides_unicornis" "Ambloplites_rupestris"
"Gastropus_stylifer" "Ambloplites_rupestris"
"Polyarthra_euryptera" "Ambloplites_rupestris"
"Bosmina_longirostris" "Ambloplites_rupestris"
"Conochiloides_dossuarius" "Ambloplites_rupestris"
"Keratella_crassa" "Ambloplites_rupestris"
"Trichotria_tetractis" "Ambloplites_rupestris"
"Ceriodaphnia_quadrangula" "Ambloplites_rupestris"
"Daphnia_ambigua" "Ambloplites_rupestris"
"Daphnia_parvula" "Ambloplites_rupestris"
"Colletheca_mutabilis" "Ambloplites_rupestris"
"Diaphanosoma_birgei" "Ambloplites_rupestris"
"copepod_nauplii" "Ambloplites_rupestris"
"Tropocyclops_prasinus" "Ambloplites_rupestris"
"Eucyclops_agilis" "Ambloplites_rupestris"
"Mesocyclops_edax" "Ambloplites_rupestris"
"Epishura_lacustris" "Ambloplites_rupestris"
"Asplanchna_sp." "Ambloplites_rupestris"
"Leptodora_kindtii" "Ambloplites_rupestris"
"fish_eggs" "Ambloplites_rupestris"
"Diaptomus_sicilis" "Oocyctis_sp."
"Diaptomus_sicilis" "Cryptomonas_erosa"
"Diaptomus_sicilis" "Cryptomonas_ovata"
"Diaptomus_sicilis" "Mallomonas_sp."
"Diaptomus_sicilis" "Staurastrum_sp."
"Diaptomus_sicilis" "Coelastrum_cambricum"
"Diaptomus_sicilis" "Dinobryon_sp."
"Diaptomus_sicilis" "Sphaerocystis_schroeteri"
"Diaptomus_sicilis" "Chrysosphaerella_longispina"
"Diaptomus_sicilis" "Schroederia_setigera"
"Diaptomus_sicilis" "Elakatrothrix_gelatinosa"
"Diaptomus_sicilis" "Merismopedia_tenuissima"
"Diaptomus_sicilis" "Chroococcus_limneticus"
"Diaptomus_sicilis" "Uroglenopsis_americana"
"Diaptomus_minutus" "Oocyctis_sp."
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Cryptomonas_ovata"
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Staurastrum_sp."
"Diaptomus_minutus" "Coelastrum_cambricum"
"Diaptomus_minutus" "Dinobryon_sp."
"Diaptomus_minutus" "Sphaerocystis_schroeteri"
"Diaptomus_minutus" "Chrysosphaerella_longispina"
"Diaptomus_minutus" "Schroederia_setigera"
"Diaptomus_minutus" "Elakatrothrix_gelatinosa"
"Diaptomus_minutus" "Merismopedia_tenuissima"
"Diaptomus_minutus" "Chroococcus_limneticus"
"Diaptomus_minutus" "Uroglenopsis_americana"
"Keratella_cochlearis" "Cryptomonas_erosa"
"Keratella_cochlearis" "Cryptomonas_ovata"
"Keratella_cochlearis" "nanoflagellates"
"Keratella_serrulata" "Cryptomonas_erosa"
"Keratella_serrulata" "Cryptomonas_ovata"
"Keratella_serrulata" "nanoflagellates"
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Keratella_taurocephala" "nanoflagellates"
"Holopedium_gibberum" "Oocyctis_sp."
"Holopedium_gibberum" "Cryptomonas_erosa"
"Holopedium_gibberum" "Cryptomonas_ovata"
"Holopedium_gibberum" "Mallomonas_sp."
"Holopedium_gibberum" "Staurastrum_sp."
"Holopedium_gibberum" "Coelastrum_cambricum"
"Holopedium_gibberum" "Dinobryon_sp."
"Holopedium_gibberum" "Sphaerocystis_schroeteri"
"Holopedium_gibberum" "Chrysosphaerella_longispina"
"Holopedium_gibberum" "Schroederia_setigera"
"Holopedium_gibberum" "Elakatrothrix_gelatinosa"
"Holopedium_gibberum" "Merismopedia_tenuissima"
"Holopedium_gibberum" "Chroococcus_limneticus"
"Holopedium_gibberum" "Uroglenopsis_americana"
"Polyarthra_remata" "Cryptomonas_erosa"
"Polyarthra_remata" "Cryptomonas_ovata"
"Polyarthra_remata" "nanoflagellates"
"Conochiloides_unicornis" "Cryptomonas_erosa"
"Conochiloides_unicornis" "Cryptomonas_ovata"
"Conochiloides_unicornis" "nanoflagellates"
"Gastropus_stylifer" "Cryptomonas_erosa"
"Gastropus_stylifer" "Cryptomonas_ovata"
"Gastropus_stylifer" "nanoflagellates"
"Polyarthra_euryptera" "Cryptomonas_erosa"
"Polyarthra_euryptera" "Cryptomonas_ovata"
"Polyarthra_euryptera" "nanoflagellates"
"Bosmina_longirostris" "Cryptomonas_erosa"
"Bosmina_longirostris" "Cryptomonas_ovata"
"Bosmina_longirostris" "nanoflagellates"
"Conochiloides_dossuarius" "Cryptomonas_erosa"
"Conochiloides_dossuarius" "Cryptomonas_ovata"
"Conochiloides_dossuarius" "nanoflagellates"
"Keratella_crassa" "Cryptomonas_erosa"
"Keratella_crassa" "Cryptomonas_ovata"
"Keratella_crassa" "nanoflagellates"
"Trichotria_tetractis" "Cryptomonas_erosa"
"Trichotria_tetractis" "Cryptomonas_ovata"
"Trichotria_tetractis" "nanoflagellates"
"Ceriodaphnia_quadrangula" "Cryptomonas_erosa"
"Ceriodaphnia_quadrangula" "Cryptomonas_ovata"
"Ceriodaphnia_quadrangula" "nanoflagellates"
"Daphnia_ambigua" "Cryptomonas_erosa"
"Daphnia_ambigua" "Cryptomonas_ovata"
"Daphnia_ambigua" "nanoflagellates"
"Daphnia_parvula" "Cryptomonas_erosa"
"Daphnia_parvula" "Cryptomonas_ovata"
"Daphnia_parvula" "nanoflagellates"
"Colletheca_mutabilis" "Cryptomonas_erosa"
"Colletheca_mutabilis" "Cryptomonas_ovata"
"Colletheca_mutabilis" "nanoflagellates"
"Diaphanosoma_birgei" "Cryptomonas_erosa"
"Diaphanosoma_birgei" "Cryptomonas_ovata"
"Diaphanosoma_birgei" "nanoflagellates"
"copepod_nauplii" "Cryptomonas_erosa"
