"Ictalurus_nebulosus" "benthic_detritus"
"Daphnia_catawba" "Tabellaria_fenestrata"
"Daphnia_catawba" "Chrysocapsa_planktonica"
"Daphnia_catawba" "Quadrigula_closterioides"
"Daphnia_catawba" "Navicula_sp."
"Daphnia_catawba" "Spondylosium_planum"
"Daphnia_catawba" "Chrysosphaerella_longispina"
"Daphnia_catawba" "Asterionella_formosa"
"Daphnia_catawba" "Arthrodesmus_incus"
"Daphnia_catawba" "Elakatrothrix_gelatinosa"
"Daphnia_catawba" "Aphanothece_sp."
"Daphnia_catawba" "Cyclotella_sp."
"Daphnia_catawba" "Rhabdoderma_lineare"
"Daphnia_catawba" "Coelosphaerium_pallidum"
"Daphnia_catawba" "Anabaena_flos-aquae"
"Daphnia_catawba" "Botryococcus_braunii"
"Daphnia_catawba" "Merismopedia_tenuissima"
"Daphnia_catawba" "Chroococcus_limneticus"
"Daphnia_catawba" "nanoflagellates"
"Daphnia_galeata" "Oocyctis_sp."
"Daphnia_galeata" "Cryptomonas_erosa"
"Daphnia_galeata" "Mallomonas_sp."
"Daphnia_galeata" "Fragilaria_sp."
"Daphnia_galeata" "Dinobryon_bavaricum"
"Daphnia_galeata" "Dinobryon_sertularia"
"Daphnia_galeata" "Sphaerocystis_schroeteri"
"Daphnia_galeata" "Tabellaria_fenestrata"
"Daphnia_galeata" "Chrysocapsa_planktonica"
"Daphnia_galeata" "Quadrigula_closterioides"
"Daphnia_galeata" "Navicula_sp."
"Daphnia_galeata" "Spondylosium_planum"
"Daphnia_galeata" "Chrysosphaerella_longispina"
"Daphnia_galeata" "Asterionella_formosa"
"Daphnia_galeata" "Arthrodesmus_incus"
"Daphnia_galeata" "Elakatrothrix_gelatinosa"
"Daphnia_galeata" "Aphanothece_sp."
"Daphnia_galeata" "Cyclotella_sp."
"Daphnia_galeata" "Rhabdoderma_lineare"
"Daphnia_galeata" "Coelosphaerium_pallidum"
"Daphnia_galeata" "Anabaena_flos-aquae"
"Daphnia_galeata" "Botryococcus_braunii"
"Daphnia_galeata" "Merismopedia_tenuissima"
"Daphnia_galeata" "Chroococcus_limneticus"
"Daphnia_galeata" "nanoflagellates"
"Daphnia_longiremis" "Oocyctis_sp."
"Daphnia_longiremis" "Cryptomonas_erosa"
"Daphnia_longiremis" "Mallomonas_sp."
"Daphnia_longiremis" "Fragilaria_sp."
"Daphnia_longiremis" "Dinobryon_bavaricum"
"Daphnia_longiremis" "Dinobryon_sertularia"
"Daphnia_longiremis" "Sphaerocystis_schroeteri"
"Daphnia_longiremis" "Tabellaria_fenestrata"
"Daphnia_longiremis" "Chrysocapsa_planktonica"
"Daphnia_longiremis" "Quadrigula_closterioides"
"Daphnia_longiremis" "Navicula_sp."
"Daphnia_longiremis" "Spondylosium_planum"
"Daphnia_longiremis" "Chrysosphaerella_longispina"
"Daphnia_longiremis" "Asterionella_formosa"
"Daphnia_longiremis" "Arthrodesmus_incus"
"Daphnia_longiremis" "Elakatrothrix_gelatinosa"
"Daphnia_longiremis" "Aphanothece_sp."
"Daphnia_longiremis" "Cyclotella_sp."
"Daphnia_longiremis" "Rhabdoderma_lineare"
"Daphnia_longiremis" "Coelosphaerium_pallidum"
"Daphnia_longiremis" "Anabaena_flos-aquae"
"Daphnia_longiremis" "Botryococcus_braunii"
"Daphnia_longiremis" "Merismopedia_tenuissima"
"Daphnia_longiremis" "Chroococcus_limneticus"
"Daphnia_longiremis" "nanoflagellates"
"Diaptomus_minutus" "Oocyctis_sp."
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Fragilaria_sp."
"Diaptomus_minutus" "Dinobryon_bavaricum"
"Diaptomus_minutus" "Dinobryon_sertularia"
"Diaptomus_minutus" "Sphaerocystis_schroeteri"
"Diaptomus_minutus" "Tabellaria_fenestrata"
"Diaptomus_minutus" "Chrysocapsa_planktonica"
"Diaptomus_minutus" "Quadrigula_closterioides"
"Diaptomus_minutus" "Navicula_sp."
"Diaptomus_minutus" "Spondylosium_planum"
"Diaptomus_minutus" "Chrysosphaerella_longispina"
"Diaptomus_minutus" "Asterionella_formosa"
"Diaptomus_minutus" "Arthrodesmus_incus"
"Diaptomus_minutus" "Elakatrothrix_gelatinosa"
"Diaptomus_minutus" "Aphanothece_sp."
"Diaptomus_minutus" "Cyclotella_sp."
"Diaptomus_minutus" "Rhabdoderma_lineare"
"Diaptomus_minutus" "Coelosphaerium_pallidum"
"Diaptomus_minutus" "Anabaena_flos-aquae"
"Diaptomus_minutus" "Botryococcus_braunii"
"Diaptomus_minutus" "Merismopedia_tenuissima"
"Diaptomus_minutus" "Chroococcus_limneticus"
"Keratella_cochlearis" "Cryptomonas_erosa"
"Keratella_cochlearis" "nanoflagellates"
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "nanoflagellates"
"Kelicottia_longispina" "Cryptomonas_erosa"
"Kelicottia_longispina" "nanoflagellates"
"Diaptomus_minutus" "Tropocyclops_prasinus"
"Keratella_cochlearis" "Tropocyclops_prasinus"
"Keratella_taurocephala" "Tropocyclops_prasinus"
"Kelicottia_longispina" "Tropocyclops_prasinus"
"Tropocyclops_prasinus" "Mesocyclops_edax"
"Tropocyclops_prasinus" "Cyclops_vernalis"
"Tropocyclops_prasinus" "Trichocerca_cylindrica"
"Tropocyclops_prasinus" "Ascomorpha_ecaudis"
"Tropocyclops_prasinus" "Conochiloides_unicornis"
"Tropocyclops_prasinus" "Trichocerca_pusilla"
"Tropocyclops_prasinus" "Gastropus_stylifer"
"Tropocyclops_prasinus" "Polyarthra_major"
"Tropocyclops_prasinus" "Polyarthra_euryptera"
"Tropocyclops_prasinus" "Bosmina_longirostris"
"Tropocyclops_prasinus" "Conochiloides_dossuarius"
"Tropocyclops_prasinus" "Synchaeta_sp."
"Tropocyclops_prasinus" "Leptodora_kindtii"
"Tropocyclops_prasinus" "Colletheca_mutabilis"
"Tropocyclops_prasinus" "copepod_nauplii"
"Tropocyclops_prasinus" "Gymnodinium_palustre"
"Tropocyclops_prasinus" "Peridinium_cinctum"
"Tropocyclops_prasinus" "Peridinium_inconspicuum"
"Tropocyclops_prasinus" "Ceratium_carolinianum"
"Keratella_cochlearis" "Asplanchna_sp."
"Keratella_taurocephala" "Asplanchna_sp."
"Kelicottia_longispina" "Asplanchna_sp."
"Asplanchna_sp." "Trichocerca_cylindrica"
"Asplanchna_sp." "Ascomorpha_ecaudis"
"Asplanchna_sp." "Conochiloides_unicornis"
"Asplanchna_sp." "Trichocerca_pusilla"
"Asplanchna_sp." "Gastropus_stylifer"
"Asplanchna_sp." "Polyarthra_major"
"Asplanchna_sp." "Polyarthra_euryptera"
"Asplanchna_sp." "Conochiloides_dossuarius"
"Asplanchna_sp." "Synchaeta_sp."
"Asplanchna_sp." "Colletheca_mutabilis"
"Asplanchna_sp." "Gymnodinium_palustre"
"Asplanchna_sp." "Peridinium_cinctum"
"Asplanchna_sp." "Peridinium_inconspicuum"
"Asplanchna_sp." "Ceratium_carolinianum"
"Holopedium_gibberum" "Oocyctis_sp."
"Holopedium_gibberum" "Cryptomonas_erosa"
"Holopedium_gibberum" "Mallomonas_sp."
"Holopedium_gibberum" "Fragilaria_sp."
"Holopedium_gibberum" "Dinobryon_bavaricum"
"Holopedium_gibberum" "Dinobryon_sertularia"
"Holopedium_gibberum" "Sphaerocystis_schroeteri"
"Holopedium_gibberum" "Tabellaria_fenestrata"
"Holopedium_gibberum" "Chrysocapsa_planktonica"
"Holopedium_gibberum" "Quadrigula_closterioides"
"Holopedium_gibberum" "Navicula_sp."
"Holopedium_gibberum" "Spondylosium_planum"
"Holopedium_gibberum" "Chrysosphaerella_longispina"
"Holopedium_gibberum" "Asterionella_formosa"
"Holopedium_gibberum" "Arthrodesmus_incus"
"Holopedium_gibberum" "Elakatrothrix_gelatinosa"
"Holopedium_gibberum" "Aphanothece_sp."
"Holopedium_gibberum" "Cyclotella_sp."
"Holopedium_gibberum" "Rhabdoderma_lineare"
"Holopedium_gibberum" "Coelosphaerium_pallidum"
"Holopedium_gibberum" "Anabaena_flos-aquae"
"Holopedium_gibberum" "Botryococcus_braunii"
"Holopedium_gibberum" "Merismopedia_tenuissima"
"Holopedium_gibberum" "Chroococcus_limneticus"
"Diaptomus_minutus" "Mesocyclops_edax"
"Keratella_cochlearis" "Mesocyclops_edax"
"Keratella_taurocephala" "Mesocyclops_edax"
"Kelicottia_longispina" "Mesocyclops_edax"
"Mesocyclops_edax" "Cyclops_vernalis"
"Mesocyclops_edax" "Trichocerca_cylindrica"
"Mesocyclops_edax" "Ascomorpha_ecaudis"
"Mesocyclops_edax" "Conochiloides_unicornis"
"Mesocyclops_edax" "Trichocerca_pusilla"
"Mesocyclops_edax" "Gastropus_stylifer"
"Mesocyclops_edax" "Polyarthra_major"
"Mesocyclops_edax" "Polyarthra_euryptera"
"Mesocyclops_edax" "Bosmina_longirostris"
"Mesocyclops_edax" "Conochiloides_dossuarius"
"Mesocyclops_edax" "Synchaeta_sp."
"Mesocyclops_edax" "Leptodora_kindtii"
"Mesocyclops_edax" "Colletheca_mutabilis"
"Mesocyclops_edax" "copepod_nauplii"
"Mesocyclops_edax" "Gymnodinium_palustre"
"Mesocyclops_edax" "Peridinium_cinctum"
"Mesocyclops_edax" "Peridinium_inconspicuum"
"Mesocyclops_edax" "Ceratium_carolinianum"
"Diaptomus_minutus" "Cyclops_vernalis"
"Keratella_cochlearis" "Cyclops_vernalis"
"Keratella_taurocephala" "Cyclops_vernalis"
"Kelicottia_longispina" "Cyclops_vernalis"
"Cyclops_vernalis" "Trichocerca_cylindrica"
"Cyclops_vernalis" "Ascomorpha_ecaudis"
"Cyclops_vernalis" "Conochiloides_unicornis"
"Cyclops_vernalis" "Trichocerca_pusilla"
"Cyclops_vernalis" "Gastropus_stylifer"
"Cyclops_vernalis" "Polyarthra_major"
"Cyclops_vernalis" "Polyarthra_euryptera"
"Cyclops_vernalis" "Bosmina_longirostris"
"Cyclops_vernalis" "Conochiloides_dossuarius"
"Cyclops_vernalis" "Synchaeta_sp."
"Cyclops_vernalis" "Leptodora_kindtii"
"Cyclops_vernalis" "Colletheca_mutabilis"
"Cyclops_vernalis" "copepod_nauplii"
"Cyclops_vernalis" "Gymnodinium_palustre"
"Cyclops_vernalis" "Peridinium_cinctum"
"Cyclops_vernalis" "Peridinium_inconspicuum"
"Cyclops_vernalis" "Ceratium_carolinianum"
"Trichocerca_cylindrica" "Cryptomonas_erosa"
