link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Cyrtoxipha,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Cyrtoxipha,Detritus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Sapintus fulvipes,Detritus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Tricorynus,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Pseudoacalles,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Pseudothrips inequalis,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Embidopsocus laticeps,Detritus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Embidopsocus laticeps,Fungi,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Embidopsocus laticeps,Algae,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Oliarus,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Anisomeristes,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Carpoglyphus lactis,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Alarodia slossoniae,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Ecdytolopha,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Oiketicus abbottii,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Sapintus fulvipes,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Tricorynus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Pseudoacalles,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Pseudothrips inequalis,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Chrysopa,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Alarodia slossoniae,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Ecdytolopha,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Oiketicus abbottii,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Ascia monuste,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Phoebis agarithe,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Trochopus plumbeus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Pentacora sphacelata,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Bembidion contractum,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Tachys occulator,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Anisomeristes,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Actinopteryx fucicola,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Callihormius bifasciatus,Staphylinidae,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Camponotus floridanus,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Xenomyrmex floridanus,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Crematogaster ashmeadi,Rhizophora mangle,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Crematogaster ashmeadi,Detritus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Pseudomyrmex elongatus,Embidopsocus laticeps,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Calliephialtes ferrugineus,Sapintus fulvipes,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Calliephialtes ferrugineus,Tricorynus,FloridaIslandE9
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Calliephialtes ferrugineus,Pseudoacalles,FloridaIslandE9
