link.citation,con.taxonomy,res.taxonomy,foodweb.name
Digel et al. (2014),Lithobius sp.,Achipteria coleoptrata,SEW36
Digel et al. (2014),Lithobius sp.,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Schendyla nemorensis,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Pterostichus oblongopunctatus,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Gnaphosidae sp. (juv),Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Phalangiidae sp. (juv),Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Pterostichus sp.,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Staphylinidae spec,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Carabidae sp.,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Oodes helipioides,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Geophilomorpha sp.,Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Theridiidae sp. (juv),Agriotes aterrimus (juv),SEW36
Digel et al. (2014),Lithobius sp.,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Schendyla nemorensis,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Athous subfuscus (juv) {m},Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Geostiba circellaris,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Gnaphosidae sp. (juv),Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Linyphiidae (juv),Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Microneta viaria,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Neobisium sp.,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Phalangiidae sp. (juv),Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Tapinocyba insecta,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Tapinocyba praecox,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Campodea sp. {l},Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Xantholinus sp. (juv) {s},Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Staphylinidae spec,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Oodes helipioides,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Geophilomorpha sp.,Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Theridiidae sp. (juv),Aleocharinae sp1 (juv),SEW36
Digel et al. (2014),Lipothrix lubbocki,algae,SEW36
Digel et al. (2014),Brachychthoniidae spp.,algae,SEW36
Digel et al. (2014),Oribatella calcarata,algae,SEW36
Digel et al. (2014),omnivorous nematodes,algae,SEW36
Digel et al. (2014),Enchytraeidae,algae,SEW36
Digel et al. (2014),Campodea sp. {l},algae,SEW36
Digel et al. (2014),Ceratophysella denticulata,amoebae,SEW36
Digel et al. (2014),Isotomiella minor,amoebae,SEW36
Digel et al. (2014),Megalothorax minimus,amoebae,SEW36
Digel et al. (2014),Parisotoma notabilis,amoebae,SEW36
Digel et al. (2014),predacious nematodes,amoebae,SEW36
Digel et al. (2014),omnivorous nematodes,amoebae,SEW36
Digel et al. (2014),Enchytraeidae,amoebae,SEW36
Digel et al. (2014),Lumbricus rubellus {xxl},amoebae,SEW36
Digel et al. (2014),Lithobius sp.,Atheta sp. (juv),SEW36
Digel et al. (2014),Schendyla nemorensis,Atheta sp. (juv),SEW36
